1790,1087,900,763,942,937,1043
2353,1230,882,987,872,881,1187
2454,1243,943,790,1014,864,1096
2281,1243,869,843,754,995,1028
2203,1211,866,694,774,1009,1003
2039,1063,901,814,844,1005,1043
1959,1180,878,772,768,995,1018
2019,1457,866,816,952,1326,947
1951,1213,880,728,775,878,1019
2457,1147,855,883,990,905,1136
2180,1287,814,832,778,971,948
1924,1123,927,839,851,994,984
2102,1040,938,696,914,917,937
2292,1232,773,780,908,919,1027
2121,1113,922,788,861,1067,1034
1858,1178,914,810,865,1026,1239
2064,1185,999,799,962,876,987
2032,1304,1311,727,853,1053,1124
2020,1269,857,831,821,1299,987
2565,1112,962,721,915,1055,1087
2060,1321,756,770,872,972,1226
2053,1189,855,776,935,1026,949
2169,1074,893,713,783,927,1128
2220,1279,884,741,835,926,1190
2210,1129,1061,653,903,1081,1131
2332,1073,773,747,765,1083,973
2071,1209,876,745,781,956,1189
2289,1094,845,845,851,931,958
2301,1252,842,776,876,1041,1025
2201,1169,831,813,813,1019,1005
1856,1317,788,892,874,1137,1023
1850,1103,811,886,773,957,1072
2096,1340,849,781,888,932,1003
2106,1166,785,861,858,868,985
2239,1216,889,785,786,1017,967
1885,1118,797,896,831,900,993
1809,1044,854,799,794,941,1017
2129,1099,852,728,809,938,977
2042,1144,1001,676,840,1035,1072
1777,1322,834,877,878,963,1130
2026,1548,848,724,790,1110,1047
1930,1060,961,764,854,975,969
2020,1196,940,748,808,997,904
2220,1093,847,856,720,939,1080
2158,1094,915,783,913,901,1096
1837,1148,780,786,763,1064,993
2390,1180,951,802,837,911,994
2202,1276,1159,786,823,1011,1037
2145,1110,938,979,847,883,1093
1803,1275,875,723,808,1019,968
2015,1179,887,728,809,948,1046
2007,1258,1118,823,758,1090,995
1927,1205,707,780,808,968,1006
2199,1077,938,788,802,1034,1152
1803,1251,1119,853,722,952,1145
1889,1206,1005,851,803,996,1064
2348,1006,846,851,812,1067,1006
2410,1139,884,786,909,894,997
2242,1284,776,728,862,1272,1039
2036,998,774,774,871,1066,999
1975,1035,854,716,793,942,996
1940,1282,949,768,744,955,973
2100,1185,842,788,880,968,1029
1640,1167,838,750,823,947,1006
2397,1299,826,817,933,892,1263
2007,1121,824,670,1080,1029,1134
1903,1253,839,753,803,1025,1069
1783,1237,797,845,959,978,1002
2037,1162,920,799,831,948,1082
2211,1061,832,726,785,896,1061
1941,1280,720,721,784,981,1001
2341,1178,1207,738,998,916,1060
1844,1260,803,784,778,1031,1128
2233,1047,937,791,869,889,928
2632,1112,914,872,934,925,946
2158,1331,1007,898,928,897,1021
2266,1107,868,778,1062,830,886
2099,1242,1039,707,887,816,996
2039,1197,772,844,873,1025,1145
2023,1135,864,851,701,1012,886
2005,1123,923,753,890,1004,1074
2013,1209,782,711,769,989,872
2018,1293,962,756,828,1042,1069
2255,1193,803,768,840,908,1023
1890,1099,961,939,898,891,979
1950,1213,868,913,764,1013,1083
2001,1155,980,786,862,1111,1024
2093,1070,843,785,1152,843,1005
1989,1270,1136,696,851,915,982
2100,1172,861,790,910,1004,1077
2240,1227,880,793,851,896,1101
2003,1244,913,841,924,953,1077
2197,1116,845,736,833,1068,1025
2026,1101,1015,741,899,1060,977
1835,893,966,738,807,971,970
2060,1438,840,768,825,912,1008
2375,1201,1040,761,896,969,1292
1978,1224,928,854,859,894,1213
2022,1153,796,855,941,973,1147
2029,1255,907,665,863,943,1035
